Ref_Motion_Blur_Magnitude,Ref_Motion_Blur_Direction,Current_Motion_Blur_Magnitude,Current_Motion_Blur_Direction,SSIM_u,SSIM_v,SSIM_exx,SSIM_exy,SSIM_eyy,PSNR_u,PSNR_v,PSNR_exx,PSNR_exy,PSNR_eyy
45,15,45,15,0.8725075688524281,0.9905015379944685,0.9846454014552597,0.9940660188740689,0.9959947079695086,29.4131530075665,20.31180065386158,34.05421428234777,34.927204633819606,34.45223034865055
45,30,45,30,0.8892020980799724,0.9821506768210617,0.9873097435123078,0.9954665935894396,0.9951731134986639,31.53572897193708,24.987471019873837,37.262719117550645,39.19376244606194,38.45019509764711
45,45,45,45,0.8909492342484864,0.9645742008597904,0.9899154276674723,0.9950606967164757,0.9914206829337882,32.48769207241358,26.323473196770607,39.80592663784754,40.84276714224404,39.82317340018075
45,60,45,60,0.9468841549532451,0.9634769484400942,0.9957143490350631,0.9958870977489618,0.9911603800367418,35.85581849919572,26.00446519105998,41.08100384407958,40.870822258197904,39.73444188632981
45,75,45,75,0.9747852333037526,0.9607631446710114,0.9978539565149691,0.9958269908129124,0.9897947968924432,38.972164869514394,24.360962261755535,39.5848958147983,38.96461422482165,37.6877783676478
45,85,45,85,0.9850502339479095,0.9639453441733324,0.9986222889871945,0.9959515658785266,0.9896459135386156,40.65921624272451,25.88603813497851,41.699747001425855,40.88748759776283,38.885502532188866
45,90,45,90,0.9925716450323029,0.9631345295369074,0.9990233208324593,0.9962742773327035,0.9900483017419605,41.32041472411531,25.843516684943843,41.860239146071905,41.08538538766852,39.03339668368916
50,0,50,0,0.8559338683124288,0.994761680883325,0.9843105226862507,0.9938246075283961,0.9975383294614026,29.341829895543103,23.974825146449213,36.888517796039594,37.97413941543469,37.92482037516318
50,5,50,5,0.8583938772118039,0.9915338851432358,0.9825502270924462,0.9925079854025568,0.9956439025300753,29.471049361705234,18.797941733015776,32.6794926846491,33.61923357605824,33.12385643322134
50,15,50,15,0.8595303746699985,0.9890882333262052,0.9834673433179772,0.9933448507738555,0.9955912193215971,28.326531452903826,20.496556807306888,34.37046805904879,35.52829945122562,35.204448114246524
50,30,50,30,0.8607312214829943,0.9762902160578173,0.9829842536873328,0.9934173175685618,0.9926424765232303,30.32888545126951,21.62648297396148,33.958891804123034,35.77388566735496,34.898106526097045
50,45,50,45,0.8843897126071071,0.9612488172573016,0.9891733626447354,0.9947784131982611,0.9905528312656183,31.95371557868176,26.214046008938148,39.539245798052164,40.812999068804885,39.79013422595067
50,60,50,60,0.9360497311544325,0.9536091894304032,0.9948877767632955,0.9951235057749073,0.9887816457102515,34.903193278358955,25.682261230861098,40.86564872305664,40.67261871602263,39.41635640719063
50,75,50,75,0.9724463890108088,0.9572798591991826,0.9977278555048253,0.9953203844196896,0.9893750103250729,38.41243371188861,24.785365861286103,40.33462145514325,39.57200846776735,38.37501239952974
50,85,50,85,0.9820646256692236,0.9595243012165531,0.9984990312005508,0.9959105748457197,0.9892101559066853,39.66152639324074,25.839968751972467,41.66943739634844,40.989515530014415,38.930188573951305
50,90,50,90,0.9921580471815867,0.9549197923698071,0.9988681714388207,0.9958267294445522,0.9883698001162539,40.398577965464916,25.193419978000556,40.62314599785576,40.06062675432705,38.424785264668046
55,0,55,0,0.8451190526955723,0.9934475573941907,0.9822376855519805,0.9924355195760067,0.9966555401559933,28.472063025331032,21.763075160056925,35.139921992757664,35.93070840348852,35.76441990813278
